-0.15,0.02,9.96,-1.33,0.97,0.99,-15.86,8.14,57.63
-0.15,0.02,9.96,-1.33,0.97,0.99,-64.17,29.22,228.52
-0.15,0.02,9.96,-1.33,0.97,0.99,-63.35,31.44,231.39
-0.15,0.02,9.96,-1.33,0.97,0.99,-63.71,30.22,227.59
-0.15,0.02,9.96,-1.33,0.97,0.99,-62.48,33.78,228.87
-0.15,0.02,9.96,-1.33,0.97,0.99,-62.48,31.91,232.26
-0.15,0.02,9.96,-1.33,0.97,0.99,-61.37,31.91,229.57
-0.15,0.02,9.96,-1.33,0.97,0.99,-61.84,32.03,229.98
-0.15,0.02,9.96,-1.33,0.97,0.99,-63.41,33.61,230.68
-0.15,0.02,9.96,-1.33,0.97,0.99,-64.99,30.68,229.22
-0.15,0.02,9.96,-1.33,0.97,0.99,-64.7,28.35,230.57
-0.15,0.02,9.96,-1.33,0.97,0.99,-63.53,31.03,234.02
-0.15,0.02,9.96,-1.33,0.97,0.99,-15.62,7.63,57.16
-0.15,0.02,9.96,-1.33,0.97,0.99,-63.53,27.94,227.18
-0.15,0.02,9.96,-1.33,0.97,0.99,-63,32.55,231.44
-0.15,0.02,9.96,-1.33,0.97,0.99,-63.94,32.5,226.18
-0.15,0.02,9.96,-1.33,0.97,0.99,-63.18,31.97,230.63
-0.15,0.02,9.96,-1.33,0.97,0.99,-61.84,32.14,229.75
-0.11,0.04,9.94,0.07,-3.32,-3.22,-62.42,31.15,231.5
-0.11,0.04,9.94,0.07,-3.32,-3.22,-63.41,30.68,226.77
-0.11,0.04,9.94,0.07,-3.32,-3.22,-60.55,32.96,230.1
-0.11,0.04,9.94,0.07,-3.32,-3.22,-62.3,34.02,229.16
-0.11,0.04,9.94,0.07,-3.32,-3.22,-62.36,31.74,235.53
-0.11,0.04,9.94,0.07,-3.32,-3.22,-60.67,33.31,231.5
-0.11,0.04,9.94,0.07,-3.32,-3.22,-64,32.67,226.83
-0.11,0.04,9.94,0.07,-3.32,-3.22,-63.47,33.08,227.47
-0.11,0.04,9.94,0.07,-3.32,-3.22,-64.41,32.61,228.29
-0.11,0.04,9.94,0.07,-3.32,-3.22,-65.58,31.91,230.1
-0.11,0.04,9.94,0.07,-3.32,-3.22,-64.82,29.87,230.45
-0.11,0.04,9.94,0.07,-3.32,-3.22,-64.17,31.91,227.06
-0.11,0.04,9.94,0.07,-3.32,-3.22,-63.35,32.79,230.22
-0.11,0.04,9.94,0.07,-3.32,-3.22,-63,32.03,229.28
-0.11,0.04,9.94,0.07,-3.32,-3.22,-63.06,30.92,228.58
-0.11,0.04,9.94,0.07,-3.32,-3.22,-65.05,31.97,231.91
-0.11,0.04,9.94,0.07,-3.32,-3.22,-15.89,8.17,57.23
-0.11,0.04,9.94,0.07,-3.32,-3.22,-63.41,33.72,227
-0.11,0.04,9.94,0.07,-3.32,-3.22,-63.76,30.98,227.88
-0.11,0.04,9.94,0.07,-3.32,-3.22,-62.3,29.4,228.76
-0.11,0.04,9.94,0.07,-3.32,-3.22,-64.23,30.51,231.91
-0.11,0.04,9.94,0.07,-3.32,-3.22,-65.52,32.96,233.14
-0.11,0.04,9.94,0.07,-3.32,-3.22,-64.29,32.85,227.59
-0.15,0.06,10,0.07,-3.32,-3.22,-64.35,33.26,230.86
-0.15,0.06,10,-0.72,0.52,0.53,-65.23,31.56,224.49
-0.15,0.06,10,-0.72,0.52,0.53,-63.88,34.13,226.77
-0.15,0.06,10,-0.72,0.52,0.53,-64.06,32.03,230.1
-0.15,0.06,10,-0.72,0.52,0.53,-63.65,33.55,229.28
-0.15,0.06,10,-0.72,0.52,0.53,-66.16,32.32,228.05
-0.15,0.06,10,-0.72,0.52,0.53,-65.17,31.15,226.53
-0.15,0.06,10,-0.72,0.52,0.53,-63.82,30.86,229.63
-0.15,0.06,10,-0.72,0.52,0.53,-65.52,30.04,224.9
-0.15,0.06,10,-0.72,0.52,0.53,-63.24,28.87,225.54
-0.15,0.06,10,-0.72,0.52,0.53,-65.58,30.68,225.6
-0.15,0.06,10,-0.72,0.52,0.53,-62.48,32.26,225.42
-0.15,0.06,10,-0.72,0.52,0.53,-63.71,28.7,226.13
-0.15,0.06,10,-0.72,0.52,0.53,-65.28,30.92,226.36
-0.15,0.06,10,-0.72,0.52,0.53,-64.7,29.81,223.96
-0.15,0.06,10,-0.72,0.52,0.53,-16.14,7.56,56.01
-0.15,0.06,10,-0.72,0.52,0.53,-63.53,31.21,226.94
-0.15,0.06,10,-0.72,0.52,0.53,-64.06,29.11,226.71
-0.15,0.06,10,-0.72,0.52,0.53,-64,30.1,227.82
-0.15,0.06,10,-0.72,0.52,0.53,-66.28,31.33,226.71
-0.15,0.06,10,-0.72,0.52,0.53,-66.57,30.27,228.29
-0.15,0.06,10,-0.72,0.52,0.53,-63.65,29.98,229.4
-0.15,0.06,10,-0.72,0.52,0.53,-64.7,31.33,226.94
-0.15,0.06,10,-0.72,0.52,0.53,-63.88,32.09,228.87
-0.1,0.02,9.9,0.06,-0.08,-0.07,-64.93,31.62,228.05
